id,text,keyed,domain,facet
43c98ce8-a07a-4dc2-80f6-c1b2a2485f06,心配性だ,plus,N,1
d50a597f-632b-4f7b-89e6-6d85b50fd1c9,友達を作るのは簡単だ,plus,E,1
888dd864-7449-4e96-8d5c-7a439603ea91,想像力が豊かだ,plus,O,1
ce2fbbf8-7a97-4199-bda5-117e4ecdf3b6,他人を信頼するほうだ,plus,A,1
c7f53c3c-2e77-432f-bb71-7470b67d3aa9,仕事は完璧にこなすほうだ,plus,C,1
48ad12ce-470e-4339-90ac-ea8c43a0103e,短気だ,plus,N,2
458f3957-2359-4077-ade1-34525d633063,大きなパーティが好きだ,plus,E,2
58d571e5-d725-4cf8-a438-32c16ee28eb6,芸術は重要だと思う,plus,O,2
0cf79e27-e702-45c2-9471-04ac96b58e0e,自分のために他人を利用するほうだ,minus,A,2
cda1ca17-b599-4561-a6cd-ff9d36062d27,きれい好きだ,plus,C,2
5e8550d7-b8ef-4905-950a-f81d735d39e2,憂鬱な気分になることが多い,plus,N,3
8af754f2-68e9-48f3-8c5d-2e6633d4472c,世話を焼きがちだ,plus,E,3
0727def6-3d18-4221-bf38-86b58f9f3eed,感情的なほうだ,plus,O,3
ccf3a5c8-fb50-4bd4-8e7a-22af3d657279,人助けが好きだ,plus,A,3
73d84e5d-cbf5-47f0-b8cb-4d2159a52e32,約束は守るほうだ,plus,C,3
b2d9ef74-73f5-4ea8-b00c-7aaca15937df,他人に近づくことが苦手だ,plus,N,4
48a761ef-438e-409b-ae59-ea2ce8f84414,いつも忙しいほうだ,plus,E,4
cae55842-8957-4e3b-83b3-ceff98fb9dcf,いつも同じよりも変化に富むことを好む,plus,O,4
e2028ad3-b128-4f76-be57-398bfe2aff22,健闘することが大好きだ,minus,A,4
b7fc949b-02b6-4cb9-a3e2-dbb3d824b55f,一生懸命に働くほうだ,plus,C,4
481efd08-c810-43b1-a952-f8ac9052f96b,暴飲暴食をしがちだ,plus,N,5
987efee2-899f-4a65-b9b5-1589ef0460d7,刺激的なことが大好きだ,plus,E,5
e1e804c7-4a1d-498f-8610-f95147af9d1d,難しい読み物が好きだ,plus,O,5
71029381-3908-4c68-91e1-e41fb45542a2,自分は他人よりも優れていると思う,minus,A,5
f6076eea-56ae-4b46-97f1-5f94a7676c96,いつも準備万端だ,plus,C,5
2f519935-92e8-48ad-9746-4a0f8b38466a,慌てやすい,plus,N,6
899c3f66-51d0-46ea-963a-6fc36d3b3cb9,喜びで満ち溢れている,plus,E,6
79186f48-e7fa-4df4-b74b-b0627ee244e1,選挙ではリベラルな候補者に投票するほうだ,plus,O,6
fd50e1ca-d9e0-4037-a7a1-a191d4db2d96,ホームレスには同情する,plus,A,6
bd9eec0a-b68b-472c-8803-7db29c308cdb,考えなしに行動しがちだ,minus,C,6
7f92ab2c-265c-4b84-8c74-09f9bb9d41a7,最悪の結果を恐れがちだ,plus,N,1
af55f014-788c-4b6e-92c4-b2b59dc8a28d,人が周りにいると安心できる,plus,E,1
08ff6dca-02a5-4aeb-aaa4-2ecf2526f143,自分の世界に没頭するのが好きだ,plus,O,1
6f66cdc0-9044-457b-b40d-501ecae15ee7,人はみな善意を持っていると思う,plus,A,1
f110fc66-2e9e-413c-920b-19f05e63d7ac,得意なことを仕事にしている,plus,C,1
7dab2a37-8635-4fc7-86b7-0abf13c183c9,すぐにイライラする,plus,N,2
28ab59a0-e7cd-4fce-94e3-bba2ecc023b6,パーティでは色々な人と話すほうだ,plus,E,2
b5919f2f-cded-4745-a9ce-c02703cee807,他人が気づかないことに美しさを見出すほうだ,plus,O,2
5a5fa975-d024-4ac8-8845-2823f957c21b,出世のためには不正も厭わない,minus,A,2
adf33f9f-45bd-43e3-af25-4c491176d97f,ものを所定の位置に戻すことを忘れがちだ,minus,C,2
f0a14e16-d726-47e9-a2c1-647fd3d7d52e,自分が嫌いだ,plus,N,3
0b38e3d3-c15c-454c-b034-f4eb7ae1580a,他人を仕切ろうとしがちだ,plus,E,3
5631b856-ff34-4f76-a0cd-edc7104c3bfa,他人に同情しがちだ,plus,O,3
ada867af-4db1-4e3d-a604-2b695c1806e5,他人のことを気にかけるほうだ,plus,A,3
c55e3958-00c4-4fc3-9118-47d8f31bfde1,本当のことを言うほうだ,plus,C,3
acd8fadc-5399-4a67-b5ff-9d1ada049c01,自分が注目を浴びることを恐れている,plus,N,4
d07b6c67-0d02-4948-a997-bb84ac234cd8,いつも働き詰めだ,plus,E,4
33b81fd0-7e32-4cd8-a13a-d5f5f754f998,知っている世界から出たくない,minus,O,4
d9a9a180-29c9-4ec5-8621-2256d411def7,他人を怒鳴りがちだ,minus,A,4
f12c3d9d-1d12-4aa6-ad2e-009cd0651cbb,求められている以上のことをしがちだ,plus,C,4
9891b7ba-a494-4307-aafe-301d8db506c6,羽目を外すことはめったにない,minus,N,5
f1675af6-88bf-4376-a946-0281e762b39c,冒険を求めている,plus,E,5
95a3f20c-f933-4d19-a2c1-a7dbdf63c562,哲学的な議論は避けがちだ,minus,O,5
7df44711-4cd4-4b05-8830-73fcc3ebdab5,自尊心は高いほうだ,minus,A,5
9d3cb5c7-955c-43a4-b6c7-b07ed01dcbd9,自分の計画はうまく実行できるほうだ,plus,C,5
13c58810-3864-42ba-aa87-d4166f858756,出来事に圧倒されがちだ,plus,N,6
961376e0-16a1-4c14-b059-789e63d11b63,いつも楽しい,plus,E,6
f08e1b27-3673-4898-9cae-896482d0d9f9,絶対的な善悪は存在しないと思う,plus,O,6
c2038c12-7a37-47a8-9983-831bd6692aab,自分よりも恵まれない人に同情する,plus,A,6
956f3e17-ff17-4af5-a52f-9222b8968106,衝動的な意思決定をしがちだ,minus,C,6
4d81238b-5407-47d4-88e5-dc0e38aa14f5,さまざまなことに対して不安がある,plus,N,1
9f9166f0-fa94-4c14-a91d-3eecd8395794,他人との接触を避けがちだ,minus,E,1
23a1034f-fab7-4887-a66e-5ef4eaafb25e,空想することが好きだ,plus,O,1
c63e6121-c3ed-40cc-abc2-c1e6ea1e0858,人々が言うことは信じるほうだ,plus,A,1
02ee1930-36a7-4caa-b10c-c93efb682a44,仕事はスムーズにこなすほうだ,plus,C,1
da8e6ed1-2296-4c58-8fdb-66f2f591989b,キレやすいほうだ,plus,N,2
03c10b30-b88f-4c63-8acc-71251ca24615,一人でいることを好む,minus,E,2
751a04bc-5adf-485a-8ea4-4308406ae85b,詩は好きではない,minus,O,2
982e83c2-d34e-48da-9c71-78494ab05c85,他人を利用しがちだ,minus,A,2
f4891687-0ff0-47af-a4f6-d1202c8f6676,自分の部屋は散らかりがちだ,minus,C,2
743d8973-1de1-4485-91b4-8a5cf63e7d44,気分が沈んでいることが多い,plus,N,3
2452f034-8273-4f71-9122-a40f5ead31ba,物事を支配しようとしがちだ,plus,E,3
2a300001-6e05-4c79-b8b5-2ccae4c3d463,自分の感情の変化に疎いほうだ,minus,O,3
cd54bd76-ca9c-4030-b325-bb8d896bcb3f,他人の気持ちに無頓着だ,minus,A,3
4e6e3a34-176f-4e6e-8730-1341611f972b,規則を破りがちだ,minus,C,3
20062533-a33d-4c1e-9cd9-bff868015b3f,友達といるだけで安らげる,plus,N,4
b2a077d5-1fe0-4b06-ab63-35455e001e54,自由時間にはたくさんのことをするほうだ,plus,E,4
0d2e65ab-95d9-482f-beb4-3239a3a4944a,変化を好まない,minus,O,4
0de0f900-cede-4538-9c00-5da4f830b028,人をけなしがちだ,minus,A,4
a9c97d6b-6721-4150-8d84-64ef3082f164,必要最低限のことだけをするほうだ,minus,C,4
9f2e7f90-0ca5-4ed0-9fe5-e060238a9b5e,誘惑に打ち勝つことは簡単だ,minus,N,5
7dd6cf2d-5c14-48c2-8ae5-633a7a596c71,無茶をすることは楽しい,plus,E,5
fecc35f7-681e-4889-a404-4a973a3dfef0,抽象的な考えを理解することは難しい,minus,O,5
1d686958-6fe7-432f-85e6-186b99e4e232,自己評価は高いほうだ,minus,A,5
c7db0ed8-df7d-49bf-942f-59e46ef743c4,時間を浪費しがちだ,minus,C,5
b7e0e393-9b21-4e0d-adf3-8f28fb5b9d87,物事の対処ができないと感じる,plus,N,6
79d956e8-1118-402a-a0e2-9380af18243e,人生が大好きだ,plus,E,6
96ba77b2-1a44-4dfd-95f9-ae4d1f714460,選挙では保守派の候補者に投票するほうだ,minus,O,6
77f54ab4-0fba-4efb-8700-066c7490eb87,他人の問題には興味がないほうだ,minus,A,6
a354cf7c-8d11-46ac-acc5-da90d2048637,慌てて行動しがちだ,minus,C,6
43b03992-3f32-4ed1-a6f8-5d6d3e7ed246,ストレスを感じやすい,plus,N,1
41702602-08e4-4e2b-9a19-291d9efc581a,他人と距離をとりがちだ,minus,E,1
935a7413-abac-4f54-9169-d1fbd39da752,思索に耽ることが好きだ,plus,O,1
432dbde8-8756-4ff0-80d5-f47018235139,他人は信用しないほうだ,minus,A,1
5727c93f-317b-4af1-a686-77fc9fbc5033,要領が良いほうだ,plus,C,1
d32bd062-4eb2-401b-99b2-e7afea39ca9b,簡単にイライラしないほうだ,minus,N,2
9a47184f-6046-4e68-a61b-3d9b357b86ea,人混みを避けがちだ,minus,E,2
87c5b27e-59a8-4c48-8ba8-f5413d735693,美術館に行っても楽しめない,minus,O,2
11b20adb-abed-4363-894c-3dd823ae0540,他人の計画を妨害しがちだ,minus,A,2
50418d86-712c-45d9-adc4-ea0231c93cf5,自分の所有物を放置しがちだ,minus,C,2
f40e421f-6c24-4be2-bd9f-28d33358d8c6,今の自分に満足している,minus,N,3
8791f37b-686f-47c3-9db7-74c009951321,他人が導いてくれるのを待ちがちだ,minus,E,3
4fd25155-9cc2-4cd6-8852-3e0ca2d5e95d,感情的になる人を理解できない,minus,O,3
b68af20d-24f9-4c27-85cc-fe0858994888,他人のために時間はかけないほうだ,minus,A,3
54423933-0ebb-44a7-bdd9-2a9b100c70f2,約束を反故にしがちだ,minus,C,3
7317848c-3e1b-422f-bb16-02efc504f677,困難な社会情勢に悩まされないほうだ,minus,N,4
7d93e1ca-46e8-4a30-9623-42a80c9b420c,気楽にやることが好きだ,minus,E,4
a7f43928-8982-4ed5-8656-7a80346fe979,伝統的なやり方に固執しがちだ,minus,O,4
17910a55-a64a-4ed0-8b46-293e2fa2fe03,他人に仕返しをしがちだ,minus,A,4
3890bb43-2695-4b8d-b289-ee10d11cc884,仕事に時間や労力を割きたくない,minus,C,4
49a85680-53aa-4208-86b5-dccc7a6f8e37,欲求をコントロールできるほうだ,minus,N,5
10f90fa9-649c-4631-ac4c-3dd3f751597d,無謀に行動するほうだ,plus,E,5
b86de003-c3c4-4cc8-9385-5ac8a0142c34,理論的な議論には興味がないほうだ,minus,O,5
80c1d149-7050-481a-9953-aefb441642e7,自慢しがちだ,minus,A,5
51403620-968c-42fa-a772-65ba5ad8396f,仕事を始めることは難しい,minus,C,5
88a3c2fe-3aa4-4f46-9322-da656332268a,プレッシャーの中でも落ち着いていられる,minus,N,6
e7b31bdc-5f6b-40ec-ba91-f5919b0f170e,人生を肯定的に見るほうだ,plus,E,6
580b08d1-3c94-46e9-9d07-d6d80c698127,犯罪には厳しくあるべきだと思う,minus,O,6
48bee420-60c0-45cd-be43-3893dbc1969a,貧しい人のことは考えないようにしている,minus,A,6
ea3327ea-3529-4be4-8e2d-2174731ae4d7,考えなしに行動するほうだ,minus,C,6
